ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Context,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-Jan,30/03/2023 10:23,https://twitter.com/ReplyCarlos1988/status/1427480200586039336,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","patay, bakuna",@ReplyCarlos1988,jcarlos88,None,Anonymous,Apr-09,824,591,Philippines,Socio-political,"#DuterteTraydor Patay na mga Pilipino dahil sa inefficiency ng bakuna nila, lalo pang mamamatay sa pagnanakaw sa natural resources natin. Tapos tatakbo pa anak mong wala namang achievements bukod sa manapak ng sheriff. Dipa bumalik sa pinanggalingan nyo yang pamilya nyong salot!","#DuterteTraydor Filipinos are dead due to the inefficiency of their vaccine, even more deaths from the theft of our natural resources. Then your daughter will run with no achievements other than stepping on the sheriff. Let your plague family go back to where you came from!",Reply,17/08/2021 11:59,,Emotional,25,0,6,,,MISLEADING,"According to the tweet, many Filipinos are dead because of the inefficiency of a certain COVID-19 vaccine brand. However, the referenced brand is validated by WHO and the COVAX Facility.

[https://www.who.int/news/item/01-06-2021-who-validates-sinovac-covid-19-vaccine-for-emergency-use-and-issues-interim-policy-recommendations]","While the account is active on Twitter, there is not enough information to identify whether the account is verified or a dummy; no account bio.",389,249,166,-350,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,Duterte,salot,,
27-Feb,30/03/2023 11:43,https://twitter.com/DugAllci/status/1336856170607292416,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID, bakit",@DugAllci,Đoug |☝️,Patriot Games,Anonymous,Nov-11,396,358,Region IV-A,Health,"Shocking pare. Natrangkaso(covid) na ako, bakit kailangan ko pa ng bakuna? Paano yung covid 20, 21, 22? Hindi raw pwede pag may allergy. Nagkaron ako nyan pag inom ko ng gamot..","Shocking dude. I already have the flu (covid), why do I still need a vaccine? What about covid 20, 21, 22? They say it can't be done if you have an allergy. I had it when I took medicine..",Reply,10/12/2020 10:12,,Emotional,0,0,0,,,MISLEADING,"People with history of allergic reaction to the any of the ingredients of COVID-19 vaccines are advised not to get vaccinated to avoid adverse side effects. But vaccines themselves do not spontaneously cause allergies and are still effective even after acquiring COVID-19.

[https://www.who.int/emergencies/diseases/novel-coronavirus-2019/covid-19-vaccines/advice]",The tweet implies a rhetorical question regarding the prerequisites to get vaccinated. It is not an inquiry to verify their claim thus making it misleading.,139,-1,-84,-600,None,None,ALLERGY,YES; Other Conspiracy,None,None,,
27-Mar,30/03/2023 12:40,https://twitter.com/frenchfernande2/status/1367302779438440454,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","astra, COVID, bakuna",@frenchfernande2,Morning Girl,I love my country second to our Lord God,Anonymous,Jan-20,"3,295","2,212",Philippines,Socio-political,"Tanong lang bakit lahat ng vaccines dadaan muna sa covax facility ng WHO bago dalhin sa bansang may order? para masure ng WHO na ok un vaccines right? pero un sa sinovac deretso sa bansa hindi dumaan sa covax facility, ngaun sabihin ng mga inutil na yan na mabisa sinovac","Just a question, why do all vaccines go through WHO's covax facility first before being brought to the country that has the order? for WHO to make sure that vaccines are ok right? but as for sinovac straight to the country without going through the covax facility, that's why those useless people say that sinovac is effective",Reply,04/03/2021 10:36,,"Rational, Emotional",14,0,4,,,FALSE,"The referenced brand is validated by WHO and the COVAX Facility. It's efficacy rate is also proven to combat COVID-19.

[https://www.who.int/news/item/01-06-2021-who-validates-sinovac-covid-19-vaccine-for-emergency-use-and-issues-interim-policy-recommendations]",,223,83,0,-516,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Distribution,"WHO, Covax Facility",inutil,,
27-Apr,30/03/2023 14:18,https://twitter.com/PaladinWars/status/1395323248808628224,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","astra, COVID, bakuna",@PaladinWars,Narcos Nightbreaker,Shagidi Shagidi #ShaBongbong,Anonymous,Sep-12,467,51,Philippines,Economic,"yung mga bansa na puro Pfizer at Moderna at Astra ang bakuna? aba kung ganun din dyan sa Pinas, walang isyu kung hindi sabihin
pero kung 50.4 ang efficacy rate ng bakuna mo, at maraming kasong COVID namatay na nabakunahan ng Sinovac aba eh sinong gusto pang magpabakuna? 🤣🤣","countries where the vaccines are Pfizer and Moderna and Astra? Well, if it's the same in the Philippines, there is no issue if you don't say it
but if the efficacy rate of your vaccine is 50.4, and many cases of COVID have died after being vaccinated with Sinovac, who else would want to be vaccinated? 🤣🤣",Reply,20/05/2021 18:19,,"Rational, Emotional",0,0,0,,,MISLEADING,"Despite varying efficacy rates of different COVID-19 vaccine brands, none of them are proven to cause death.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]","Has a dubious location (""Batac, IlocoSnorty"").",300,160,77,-439,Sinovac/CoronaVac,None,DEATH,YES; Vaccine Trials,"mga bansa, sa Pinas",None,,
27-May,30/03/2023 15:00,https://twitter.com/6Vixxlight/status/1266178314902724608,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","side effect, bakuna","@6Vixxlight
",🌱 VIXXlight ⁶ #VIXXIsSIX 🌺,"I'm the MatPat of the Starlight Community and I am an avid fan of VIXX

Pronouns: Her/ she",Anonymous,Aug-17,331,373,Philippines,Racial,"Oh yes, hintayin natin ang bakuna ng China na nagtesting ng bakuna sa mga doktor na NagkaCOVID tapos yung side effect eh napaitim ang balat sa sobrang lakas ng bakuna. Also, diba naeexperiment sila ng treatment with lung transplant? Question. Where exactly did they get the lungs?","Oh yes, let's wait for the vaccine from China who tested the vaccine on doctors who had COVID and then the side effect was that the skin turned black due to the vaccine being too strong. Also, aren't they experimenting with treatment with lung transplant? Question. Where exactly did they get the lungs?",Reply,29/05/2020 9:23,,"Rational, Emotional",0,0,0,,,FALSE,"The doctor mentioned in the tweet acquired the virus and suffered from ""liver dysfunction"" that caused his skin to turn black. It was not a side effect of China's COVID-19 vaccine/s.

[https://www.bbc.com/news/world-asia-china-52897017]",,-56,-196,-279,-795,None,None,OTHER AILMENT skin-turned-black,YES; Vaccine Trials,China,None,,
27-Jun,30/03/2023 15:31,https://twitter.com/ellensicat/status/1339827395356835841,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","side effect, bakuna",@ellensicat,ellensicat,None,Identified,Sep-18,"1,639","2,484",Philippines,Socio-political,"Bakit may pag-aalinlangan sa bakunang galing sa China?

Komunistang bansa ang China at hindi transparent ang pagtest ng bisa ng bakuna.

Sinubok ito sa Peru at ipinatigil dahil nagkaroon ng neurological side effect. Bakit natin gagamitin kung hindi pa siguradong ligtas?","Why is there doubt about the vaccine from China?

China is a communist country and vaccine efficacy testing is not transparent.

It was tested in Peru and discontinued due to neurological side effects. Why should we use it if it is not safe yet?",Text,18/12/2020 14:58,,Rational,5,0,1,,,INACCURATE,"While it is true that the Sinopharm trial was suspended in Peru at the time of the tweet's posting, it was never specified that it was because of ""neurological side effects"" from the vaccine. Pauses in clinical trials are also normal.

[https://www.bbc.com/news/world-asia-china-55212787]","The account has no bio text but has personal pictures and a complete name that helped in labeling it as ""identified"".",147,7,-76,-592,Sinopharm,None,OTHER AILMENT neurological,YES; Vaccine Trials,"Peru, China",komunista,,
27-Jul,30/03/2023 15:51,https://twitter.com/catlady_genie/status/1339463455095418887,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","side effect, bakuna",@catlady_genie,slowly losing interest 🦄,Collecting beautiful moments.,Anonymous,Apr-09,350,186,Philippines,Economic,Sinong niloko mo. Alam naman natin na sa BFF niyo gusto bumili ng bakuna. Yung bakuna na hininto yung 3rd phase ng trial dahil sa possible neurological side effect. Putek. Paano naging doktor to’?,Who are you kidding? We know that you want to buy vaccine from your BFF. The vaccine that stopped the 3rd phase of the trial due to possible neurological side effects. Putek. How did you become a doctor?,Reply,17/12/2020 14:52,,"Rational, Emotional",0,0,0,,,MISLEADING,"There is no way to ascertain which vaccine is the tweet referring to, But it misleads the audience into thinking that any of the COVID-19 vaccines did not pass the third clinical trial because of harmful neurological side effects; this is never proven.

[https://www.bbc.com/news/world-asia-china-55212787]",,146,6,-77,-593,None,None,OTHER AILMENT neurological,YES; Vaccine Trials,None,None,,
27-Aug,30/03/2023 16:46,https://twitter.com/wanderheda_/status/1339365817046032386,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","side effect, bakuna",@wanderheda_,Wanderheda,"A Bicorn Wanderer 🦄
Veterinarian🐂🐃🐄
Disease Outbreak Investigator🐗🐽",Identified,May-16,653,441,Philippines,Health,Ganun na nga po! Ang kaso ni isang page ng study ng sinovac wala pa akong nakikita eh. Tapos halted pa yung trial nila sa Brazil kasi may neurological side effect yung bakuna nila. Juskupo!,That's it! I haven't seen anything about the case of a sinovac study page. Then their trial in Brazil was halted because their vaccine had a neurological side effect. Juskupo!,Reply,17/12/2020 8:24,,"Rational, Emotional",0,0,0,,,INACCURATE,"Sinovac is the first vaccine to accomplish late stage trials in Brazil and was announced on the same month that this tweet was posted. There is also no proven adverse neurological side effects from the vaccine.

[https://www.reuters.com/business/healthcare-pharmaceuticals/chinas-sinovac-covid-19-vaccine-proves-effective-brazil-trials-wsj-2020-12-21/]",There is no explicit information in the text bio that identifies the owner of the account. But the the profile itself has personal tweets that are sufficient indicators that it is not a troll or a dummy account.,146,6,-77,-593,Sinovac/CoronaVac,None,OTHER AILMENT neurological,YES; Vaccine Trials,Brazil,None,,
27-Sep,30/03/2023 17:35,https://twitter.com/insatiableblue/status/1339802482919100417,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID",@insatiableblue,a.k.a.ong,trapper keeper,Anonymous,Sep-13,493,173,Philippines,Health,ang problema dyan hindi pa proven and baka delikado talaga ang long term effects.   we're all still hanging by a thread but at least there's now a thread to hold on to,the problem is that it is not yet proven and the long term effects may be really dangerous. we're all still hanging by a thread but at least there's now a thread to hold on to,Reply,18/12/2020 13:19,,Emotional,1,0,0,,,FALSE,"The tweet is replying to a post about an approved COVID-19 vaccine. It is not true that certain vaccines are not proven to be effective. There is also no known long-term adverse health side effects from getting COVID vaccine.

[https://www.who.int/news-room/feature-stories/detail/how-are-vaccines-developed]","Has a dubious location (""tennis court"").",147,7,-76,-592,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-Oct,30/03/2023 17:54,https://twitter.com/DrTonyLeachon/status/1338138513984778250,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID",@DrTonyLeachon,Tony Leachon MD,"TOFIL Awardee in Medicine 2010. Past President, Philippine College of Physicians. Health Reform Advocate.Ex Special Adviser National TaskForce COVID 19 🇵🇭",Identified,Feb-12,"3,590","72,660","NCR, Quezon City",Racial,"We need to review efficacy and safety data. This is a must. I’m raising a red flag🚩

Pumasa sa Vaccine Expert Panel technical review ang bakuna kontra COVID-19 ng Sinovac at Clover Biopharmaceuticals--parehong mula sa China.

FULL STORY: https://bit.ly/3guyZSo

{News5Digital FIRST COVID-19 VACCINE IN THE PHILIPPINES COULD COME FROM CHINA --GALVEZ}","We need to review efficacy and safety data. This is a must. I’m raising a red flag🚩

The vaccine against COVID-19 by Sinovac and Clover Biopharmaceuticals--both from China, passed the Vaccine Expert Panel technical review.

FULL STORY: https://bit.ly/3guyZSo

{News5Digital FIRST COVID-19 VACCINE IN THE PHILIPPINES COULD COME FROM CHINA --GALVEZ}",Text,13/12/2020 23:07,,Rational,109,10,29,9,,MISLEADING,"The tweet is implying that the efficacy rate of vaccines from China is a ""red flag"" and must reviewed. It misleads the audience into thinking that such brands are not effective against COVID-19, which is not true.

[https://www.bbc.com/news/world-asia-china-55212787]",,142,2,-81,-597,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,China,None,,
